,ARI,NMI,Silhouette
k-means,0.3,0.324,0.132
k-means + pca,0.298,0.322,0.396
k-means + tsne,0.255,0.267,0.438
k-means + umap,0.287,0.309,0.422
Birch,0.258,0.24,0.087
Birch + pca,0.238,0.3,0.354
Birch + tsne,0.262,0.271,0.401
Birch + umap,0.285,0.316,0.42
GMM,0.275,0.278,0.101
GMM + pca,0.307,0.346,0.372
GMM + tsne,0.252,0.329,0.329
GMM + umap,0.267,0.292,0.374
PAM,0.217,0.231,0.118
PAM + pca,0.299,0.317,0.396
PAM + tsne,0.256,0.268,0.438
PAM + umap,0.286,0.313,0.422
Spectral Clustering,0.295,0.342,0.127
Spectral Clustering + pca,0.301,0.322,0.396
Spectral Clustering + tsne,0.257,0.268,0.437
Spectral Clustering + umap,0.268,0.329,0.399
