,ARI,NMI,Silhouette
k-means,0.126,0.187,0.066
k-means + pca,0.116,0.184,0.054
k-means + tsne,0.084,0.142,0.028
k-means + umap,0.115,0.169,0.039
Birch,0.068,0.107,0.009
Birch + pca,0.134,0.182,0.046
Birch + tsne,0.075,0.133,0.021
Birch + umap,0.11,0.148,0.045
GMM,0.029,0.08,0.026
GMM + pca,0.087,0.183,0.051
GMM + tsne,0.074,0.123,0.02
GMM + umap,0.08,0.152,0.029
PAM,0.079,0.131,0.056
PAM + pca,0.119,0.186,0.052
PAM + tsne,0.09,0.145,0.027
PAM + umap,0.114,0.166,0.038
Spectral Clustering,0.103,0.149,0.057
Spectral Clustering + pca,0.104,0.177,0.048
Spectral Clustering + tsne,0.076,0.14,0.027
Spectral Clustering + umap,0.106,0.163,0.039
