Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.722,0.411,0.451,0.43,0.559,0.925,0.508,0.544,0.73
k-means + pca,0.825,0.933,0.98,0.603,0.661,0.66,0.541,0.718,0.971
k-means + tsne,0.391,0.562,0.803,0.338,0.489,0.803,0.253,0.436,0.707
k-means + umap,0.756,0.904,0.987,0.765,0.65,0.978,0.544,0.696,0.962
Birch,0.581,0.822,0.961,0.436,0.722,0.64,0.343,0.5,0.758
Birch + pca,0.812,0.837,0.661,0.792,0.928,0.6,0.755,0.714,0.613
Birch + tsne,0.41,0.53,0.962,0.356,0.49,0.963,0.259,0.588,0.803
Birch + umap,0.758,0.904,0.987,0.652,0.892,0.978,0.794,0.83,0.962
GMM,0.635,0.913,0.996,0.482,0.586,0.928,0.325,0.56,0.847
GMM + pca,1.0,1.0,1.0,1.0,0.948,0.672,0.916,0.947,1.0
GMM + tsne,0.747,1.0,1.0,1.0,1.0,1.0,0.985,0.887,0.796
GMM + umap,1.0,1.0,0.997,1.0,0.888,0.979,0.922,0.97,0.962
PAM,0.322,0.437,0.866,0.231,0.325,0.605,0.22,0.37,0.629
PAM + pca,0.84,0.935,0.983,0.599,0.659,0.66,0.651,0.705,0.763
PAM + tsne,0.328,0.624,0.886,0.328,0.499,0.891,0.29,0.444,0.705
PAM + umap,0.771,0.903,0.987,0.766,0.657,0.978,0.705,0.688,0.743
Spectral Clustering,0.729,0.908,0.988,0.635,0.839,0.98,0.549,0.817,0.959
Spectral Clustering + pca,0.993,0.997,0.999,0.964,0.984,0.715,0.716,0.747,0.768
Spectral Clustering + tsne,0.377,0.628,0.983,0.296,0.483,0.97,0.258,0.487,0.951
Spectral Clustering + umap,0.983,0.967,0.987,0.954,0.946,0.432,0.753,0.921,0.465
