Observations and Features:,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.547,0.472,0.378,0.575,0.344,0.284,0.544,0.364,0.239
k-means + pca,0.533,0.456,0.367,0.389,0.278,0.267,0.36,0.269,0.182
k-means + tsne,0.498,0.277,0.225,0.374,0.259,0.187,0.444,0.246,0.159
k-means + umap,0.549,0.446,0.355,0.622,0.342,0.334,0.473,0.307,0.198
Birch,0.618,0.433,0.244,0.401,0.291,0.261,0.447,0.239,0.214
Birch + pca,0.397,0.306,0.285,0.352,0.276,0.24,0.331,0.242,0.169
Birch + tsne,0.547,0.32,0.221,0.362,0.237,0.145,0.419,0.214,0.128
Birch + umap,0.549,0.439,0.345,0.449,0.289,0.301,0.527,0.388,0.237
GMM,0.683,0.416,0.287,0.49,0.415,0.341,0.528,0.267,0.166
GMM + pca,0.491,0.345,0.209,0.392,0.283,0.183,0.39,0.261,0.194
GMM + tsne,0.375,0.326,0.017,0.297,0.187,0.1,0.427,0.138,0.152
GMM + umap,0.494,0.371,0.251,0.511,0.305,0.231,0.47,0.259,0.237
PAM,0.396,0.393,0.298,0.389,0.305,0.225,0.479,0.289,0.177
PAM + pca,0.544,0.457,0.368,0.328,0.261,0.261,0.345,0.233,0.17
PAM + tsne,0.505,0.291,0.227,0.386,0.263,0.191,0.395,0.265,0.171
PAM + umap,0.573,0.438,0.337,0.613,0.461,0.263,0.584,0.324,0.203
Spectral Clustering,0.56,0.446,0.354,0.61,0.449,0.317,0.647,0.444,0.247
Spectral Clustering + pca,0.54,0.448,0.367,0.325,0.273,0.248,0.327,0.215,0.161
Spectral Clustering + tsne,0.567,0.284,0.232,0.451,0.171,0.15,0.581,0.272,0.155
Spectral Clustering + umap,0.558,0.397,0.323,0.632,0.438,0.278,0.473,0.442,0.233
