Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.722,0.411,0.451,0.43,0.559,0.925,0.508,0.544,0.73
k-means + pca,0.718,0.876,0.958,0.573,0.738,0.638,0.431,0.589,0.696
k-means + tsne,0.389,0.558,0.795,0.339,0.485,0.798,0.283,0.428,0.704
k-means + umap,0.684,0.894,0.987,0.576,0.814,0.972,0.423,0.602,0.957
Birch,0.581,0.822,0.961,0.436,0.722,0.64,0.343,0.5,0.758
Birch + pca,0.64,0.777,0.651,0.554,0.547,0.354,0.431,0.522,0.395
Birch + tsne,0.412,0.711,0.962,0.307,0.404,0.962,0.256,0.371,0.723
Birch + umap,0.679,0.894,0.987,0.492,0.651,0.972,0.429,0.565,0.869
GMM,0.635,0.913,0.996,0.482,0.586,0.928,0.325,0.56,0.847
GMM + pca,0.712,0.673,0.985,0.591,0.737,0.634,0.389,0.666,0.642
GMM + tsne,0.306,0.365,0.57,0.24,0.453,0.809,0.263,0.374,0.721
GMM + umap,0.681,0.895,0.987,0.467,0.825,0.972,0.396,0.619,0.955
PAM,0.322,0.437,0.866,0.231,0.325,0.605,0.22,0.37,0.629
PAM + pca,0.736,0.872,0.449,0.418,0.695,0.639,0.419,0.571,0.712
PAM + tsne,0.327,0.625,0.885,0.326,0.487,0.638,0.291,0.429,0.701
PAM + umap,0.683,0.895,0.987,0.585,0.814,0.972,0.37,0.607,0.737
Spectral Clustering,0.729,0.908,0.988,0.636,0.839,0.98,0.549,0.817,0.959
Spectral Clustering + pca,0.729,0.901,0.986,0.624,0.803,0.95,0.434,0.589,0.718
Spectral Clustering + tsne,0.378,0.612,0.982,0.294,0.479,0.968,0.258,0.483,0.948
Spectral Clustering + umap,0.71,0.891,0.46,0.52,0.827,0.649,0.299,0.599,0.556
