Observations and Features:,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features,10000 observations and 5 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5,0.1 and 10,0.5 and 7.5,0.9 and 5
k-means,0.337,0.489,0.694,0.294,0.446,0.667,0.24,0.39,0.616
k-means + pca,0.325,0.468,0.651,0.226,0.328,0.481,0.197,0.27,0.407
k-means + tsne,0.291,0.459,0.76,0.211,0.353,0.629,0.203,0.345,0.577
k-means + umap,0.336,0.527,0.795,0.274,0.447,0.708,0.237,0.388,0.642
Birch,0.272,0.439,0.456,0.238,0.33,0.61,0.206,0.361,0.642
Birch + pca,0.302,0.401,0.718,0.198,0.244,0.273,0.157,0.22,0.36
Birch + tsne,0.226,0.337,0.687,0.172,0.294,0.69,0.206,0.319,0.545
Birch + umap,0.309,0.521,0.798,0.266,0.444,0.738,0.233,0.41,0.645
GMM,0.258,0.31,0.81,0.194,0.402,0.671,0.189,0.361,0.626
GMM + pca,0.292,0.452,0.713,0.191,0.315,0.439,0.187,0.273,0.408
GMM + tsne,0.113,0.338,0.779,0.202,0.314,0.659,0.193,0.304,0.57
GMM + umap,0.283,0.527,0.8,0.241,0.373,0.743,0.233,0.366,0.617
PAM,0.34,0.512,0.742,0.281,0.393,0.665,0.237,0.378,0.621
PAM + pca,0.326,0.474,0.671,0.223,0.325,0.479,0.198,0.277,0.407
PAM + tsne,0.277,0.457,0.74,0.228,0.338,0.645,0.205,0.338,0.597
PAM + umap,0.338,0.53,0.796,0.278,0.453,0.714,0.237,0.385,0.643
Spectral Clustering,0.343,0.528,0.794,0.286,0.455,0.739,0.233,0.39,0.662
Spectral Clustering + pca,0.314,0.463,0.654,0.214,0.307,0.464,0.196,0.276,0.387
Spectral Clustering + tsne,0.253,0.327,0.74,0.184,0.329,0.607,0.184,0.357,0.608
Spectral Clustering + umap,0.344,0.524,0.798,0.259,0.446,0.744,0.226,0.381,0.682
