Observations and Features:,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features,2500 observations and 15 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.544,0.485,0.494,0.711,0.621,0.48,0.743,0.533,0.468
k-means + pca,0.731,0.581,0.417,0.678,0.56,0.471,0.569,0.489,0.385
k-means + tsne,0.934,0.76,0.413,0.767,0.61,0.432,0.793,0.556,0.398
k-means + umap,0.946,0.814,0.529,0.771,0.583,0.452,0.825,0.616,0.417
Birch,0.605,0.488,0.359,0.741,0.566,0.347,0.702,0.496,0.326
Birch + pca,0.247,0.205,0.196,0.392,0.554,0.292,0.602,0.471,0.336
Birch + tsne,0.946,0.74,0.437,0.751,0.525,0.35,0.77,0.495,0.373
Birch + umap,0.946,0.816,0.448,0.778,0.588,0.459,0.783,0.56,0.351
GMM,0.962,0.668,0.642,0.737,0.666,0.476,0.824,0.512,0.426
GMM + pca,0.93,0.815,0.585,0.672,0.575,0.472,0.644,0.533,0.375
GMM + tsne,0.944,0.805,0.375,0.785,0.596,0.411,0.771,0.568,0.389
GMM + umap,0.946,0.811,0.66,0.781,0.62,0.451,0.838,0.613,0.442
PAM,0.68,0.383,0.289,0.595,0.426,0.256,0.711,0.458,0.315
PAM + pca,0.504,0.472,0.424,0.622,0.558,0.471,0.582,0.491,0.387
PAM + tsne,0.932,0.756,0.419,0.757,0.608,0.433,0.798,0.569,0.394
PAM + umap,0.946,0.815,0.44,0.784,0.642,0.452,0.825,0.62,0.422
Spectral Clustering,0.945,0.633,0.407,0.765,0.658,0.511,0.81,0.632,0.446
Spectral Clustering + pca,0.493,0.455,0.419,0.74,0.624,0.481,0.607,0.497,0.392
Spectral Clustering + tsne,0.947,0.797,0.412,0.781,0.607,0.433,0.763,0.559,0.386
Spectral Clustering + umap,0.946,0.812,0.495,0.733,0.642,0.448,0.694,0.656,0.439
