Observations and Features:,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features,5000 observations and 10 features
Number of Clusters:,3 clusters,3 clusters,3 clusters,5 clusters,5 clusters,5 clusters,7 clusters,7 clusters,7 clusters
Correlation and Noise:,5,7,9,5,7,9,5,7,9
k-means,0.21,0.162,0.132,0.142,0.106,0.09,0.115,0.094,0.08
k-means + pca,0.466,0.425,0.396,0.374,0.34,0.338,0.345,0.325,0.333
k-means + tsne,0.508,0.463,0.438,0.401,0.377,0.359,0.413,0.385,0.35
k-means + umap,0.576,0.482,0.422,0.473,0.38,0.331,0.426,0.33,0.31
Birch,0.116,0.116,0.087,0.123,0.07,0.051,0.085,0.052,0.027
Birch + pca,0.401,0.385,0.354,0.371,0.312,0.346,0.344,0.31,0.381
Birch + tsne,0.48,0.38,0.401,0.359,0.317,0.341,0.382,0.311,0.299
Birch + umap,0.573,0.481,0.42,0.572,0.497,0.33,0.377,0.39,0.409
GMM,0.177,0.102,0.101,0.116,0.09,0.066,0.069,0.039,0.016
GMM + pca,0.411,0.285,0.372,0.355,0.324,0.304,0.312,0.254,0.309
GMM + tsne,0.5,0.447,0.329,0.394,0.372,0.323,0.279,0.33,0.278
GMM + umap,0.533,0.436,0.374,0.417,0.34,0.278,0.399,0.245,0.272
PAM,0.22,0.158,0.118,0.115,0.086,0.076,0.104,0.076,0.062
PAM + pca,0.466,0.425,0.396,0.374,0.35,0.326,0.337,0.317,0.315
PAM + tsne,0.508,0.463,0.438,0.4,0.375,0.359,0.411,0.383,0.352
PAM + umap,0.575,0.482,0.422,0.386,0.326,0.293,0.425,0.333,0.3
Spectral Clustering,0.207,0.158,0.127,0.136,0.099,0.081,0.127,0.093,0.072
Spectral Clustering + pca,0.466,0.424,0.396,0.377,0.349,0.321,0.33,0.321,0.307
Spectral Clustering + tsne,0.504,0.463,0.437,0.355,0.346,0.361,0.386,0.348,0.326
Spectral Clustering + umap,0.576,0.471,0.399,0.38,0.3,0.247,0.448,0.282,0.259
